upm,nvivi,nhoga,year,fex,facpob,area,ipcm,linea_pobreza_total,linea_pobreza_extrema,hh_totpers,jefe_edad,jefe_aniosestudio,totpov,extpov,lnipcm,perc_tiene_trabajo_remunerado,piezas_por_miembro,vivi_pieza_cocinar_No,vivi_computadora_No,vivi_internet_Yes,vivi_radio_No,vivi_televisor_No,vivi_heladera_No,vivi_cocina_gas_No,vivi_cocina_elec_No,vivi_lavarropas_No,vivi_videoDVD_No,vivi_acondicionador_aire_No,vivi_tv_cable_No,vivi_horno_microondas_Yes,vivi_horno_electrico_No,vivi_auto_camion_No,vivi_motocicleta_No,hh_conyuge_present_No,hh_tekopora_Yes,jefe_female_Yes,jefe_seguro_medico_Yes,jefe_sabe_leer_escribir_No,jefe_quiere_trabajo_Yes,jefe_tipo_empleo1_High,hh_tipo_hogar1_Unipersonal,jefe_idioma1_LowInc,jefe_estado_civil1_Alone,dptorep1_Low,dptorep1_High,vivi_pared1_Low,vivi_agua_proveedor1_High,vivi_combustible1_High,vivi_lote_propiedad1_Other,vivi_piso1_high,vivi_piso1_low,vivi_agua_fuente1_low,vivi_basura1_high,vivi_banho_desague1_low,vivi_vivienda_propiedad1_Other
2509,11,1,2018,516,1548,rural,1480613.9378125733,488172,239969,1.0986122886681098,65,4,nontot_pov,nonext_pov,14.20796738257142,0.6666666666666666,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2509,12,1,2018,425,425,rural,1319962.3939987002,488172,239969,0,66,2,nontot_pov,nonext_pov,14.0931138047618,1,1.3862943611198906,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2509,13,1,2018,666,5328,rural,200806.39677103792,488172,239969,2.0794415416798357,78,0,tot_pov,ext_pov,12.210096522721777,0.125,-0.9808292530117262,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
2509,14,1,2018,425,425,rural,1759184.2791911352,488172,239969,0,71,1,nontot_pov,nonext_pov,14.380360781843022,1,1.0986122886681098,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0
2509,15,1,2018,778,3890,rural,464824.651011091,488172,239969,1.6094379124341003,37,6,tot_pov,nonext_pov,13.04941551885164,0.4,-0.916290731874155,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
2509,18,1,2018,289,289,rural,1573098.1735159876,488172,239969,0,87,0,nontot_pov,nonext_pov,14.268557591736874,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0
2509,20,1,2018,584,4088,rural,369624.58112012065,488172,239969,1.9459101490553132,80,2,tot_pov,nonext_pov,12.820243123897784,0.14285714285714285,-1.252762968495368,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2509,21,1,2018,699,1398,rural,2162622.3091976596,488172,239969,0.6931471805599453,41,15,nontot_pov,nonext_pov,14.58683207535531,0.5,-0.6931471805599453,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2509,22,1,2018,584,1752,rural,1061005.0837138544,488172,239969,1.0986122886681098,33,1,nontot_pov,nonext_pov,13.874727209020884,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2643,27,1,2018,754,2262,rural,782434.7423352931,488172,239969,1.0986122886681098,42,10,nontot_pov,nonext_pov,13.570165801542151,0.3333333333333333,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
